name,head_size,length,power,flex,tension,brand,beam_width,weight,balance,speed,composition,price,swing_weight
Racquet133,100.0,27.0,1,73.0,54.0,Tecnifibre,25.4,292.5,0,1,graphite,209.95,314.0
Racquet134,100.0,27.0,1,67.0,54.5,Babolat,24.0,308.0,0,2,graphite,229.0,324.0
Racquet135,100.0,27.0,0,50.0,53.0,Wilson,24.5,317.5,0,2,high performance carbon fiber,249.0,325.0
Racquet136,98.0,27.0,0,60.0,55.0,Volkl,20.0,336.0,0,2,carbon graphite,179.99,331.0
Racquet137,100.0,27.5,1,68.0,52.5,Yonex,23.7,309.0,0,1,h.m. graphite black micro core namd,229.0,341.0
Racquet138,98.0,27.0,0,62.0,55.0,Wilson,20.6,314.0,0,2,braided graphite + basalt,219.0,335.0
Racquet139,98.0,27.0,1,63.0,52.5,Dunlop,21.5,296.0,0,1,sonic core with infinergy,99.99,318.0
Racquet140,108.0,27.25,1,54.0,53.0,Wilson,24.5,289.0,1,1,high performance carbon fiber,229.0,313.0
Racquet141,104.0,27.0,2,60.0,52.5,Head,24.0,278.0,0,0,graphene 360+ & graphite,129.95,300.0
Racquet142,98.0,27.0,0,65.0,52.5,Yonex,21.7,314.5,0,1,h.m. graphite black micro core namd,229.0,318.0
Racquet143,115.0,27.8,2,70.0,53.0,Volkl,28.0,262.0,2,0,vcell graphite,249.99,314.0
Racquet144,100.0,27.0,1,67.0,54.5,Babolat,24.0,276.0,1,1,graphite,199.0,313.0
Racquet145,98.0,27.0,0,66.0,55.0,Volkl,20.3,327.5,0,2,vcell graphite,199.99,323.0
Racquet146,100.0,27.0,1,70.0,55.0,Volkl,22.7,269.0,0,1,vcell graphite,149.99,297.0
Racquet147,104.0,27.0,1,60.0,52.5,Head,24.0,294.0,0,1,graphene 360+ & graphite,129.95,310.0
Racquet148,98.0,27.0,1,65.0,52.0,Yonex,21.7,296.0,0,1,h.m. graphite black micro core namd,229.0,310.0
Racquet149,100.0,27.0,1,66.0,57.5,Pro,21.5,298.0,0,1,graphite spiraltech carbon,179.0,316.0
Racquet150,99.0,27.0,1,70.0,55.0,Volkl,22.0,312.5,0,2,vcell graphite,199.99,320.0
Racquet151,100.0,27.0,1,69.0,54.5,Babolat,21.7,294.0,0,1,graphite,209.0,310.0
Racquet152,98.0,27.0,0,63.0,57.5,Pro,19.5,323.5,0,2,graphite spiraltech carbon,169.0,320.0
Racquet153,98.0,27.5,1,64.0,52.5,Yonex,21.7,314.0,0,1,h.m. graphite black micro core namd,229.0,340.0
Racquet154,102.0,27.0,1,69.0,55.0,Volkl,25.0,293.5,0,1,graphite,169.99,318.0
Racquet155,115.0,27.6,2,66.0,52.5,Babolat,25.7,249.5,2,0,graphite,169.0,314.0
Racquet156,98.0,27.0,0,62.0,55.0,Wilson,20.6,314.0,0,2,braided graphite + basalt,219.0,331.0
Racquet157,100.0,27.0,1,54.0,53.0,Wilson,24.5,273.0,0,1,high performance carbon fiber,199.0,300.0
Racquet158,100.0,27.0,0,66.0,57.5,Pro,21.5,318.0,0,2,graphite spiraltech carbon,179.0,320.0
Racquet159,100.0,27.0,1,69.0,52.5,Yonex,23.7,309.5,0,1,h.m. graphite black micro core namd,229.0,320.0
